slug,title,LGSL,LGIL,district,county,unitary
report-pest-problem,Report a pest problem,431,0,True,False,True
report-pothole,Report a pothole,557,,False,True,True
report-problem-pavement,Report a problem with a pavement,537,,False,True,True
report-problem-street-furniture,Report a problem with 'street furniture',559,,False,True,True
report-problem-street-light,Report a problem with a street light,564,,False,True,True
report-problem-traffic-light,Report a problem with a traffic light,567,,False,True,True
report-road-flooding,Report road flooding,555,,False,True,True
report-road-spillage,Report a road spillage,591,,True,True,True
report-squatters-property,Report squatters in a council property,101,,True,False,True
report-stray-dog,Report a stray dog,432,0,True,False,True
report-syringes,Report discarded syringes,428,,True,False,True
report-vandalism,Report vandalism,586,,True,False,True
request-clinical-waste-collection,Request clinical waste collection,859,,True,False,True
request-pedestrian-crossing,Request a pedestrian crossing,568,,False,True,True
request-speed-limit-change,Request a speed limit change,571,,False,True,True
reserve-library-item,Reserve a library item,439,0,False,True,True
roads-council-will-grit,Find out which roads your council will grit,561,,False,True,True
rubbish-collection-day,Find out your rubbish collection day,524,8,True,False,True
safe-walking-cycling-routes-school,Find safe walking or cycling routes to your child's school,546,,False,True,True
school-term-holiday-dates,School term and holiday dates,36,,False,True,True
search-library-catalogue,Search the local library catalogue,439,8,False,True,True
search-local-archives,Search local archives,448,,False,True,True
search-register-planning-decisions,Search the register of planning decisions,516,,True,False,True
services-disrupted-severe-weather,Local services disrupted by severe weather ,1307,,True,True,True
street-name-sign,Report a problem with a street name sign,541,,True,False,True
subsidised-college-transport-16-19,Subsidised transport for 16 to 19 year olds in education,1135,,False,True,True
support-group-for-children-young-people-families,"Find a local support group for children, young people and families",831,,True,True,True
where-registered-disabled-drivers-can-park,Find out where Blue Badge holders can park,274,,False,True,True
